start,end,step,result
9.45,13.34,0.21,80.20
1.30,14.09,0.21,73.43
0.68,7.86,0.73,79.80
6.22,9.63,0.08,81.85
7.33,10.29,0.75,75.00
9.86,10.53,0.44,100.00
3.67,12.90,0.43,79.21
4.30,10.10,0.97,100.00
4.91,12.31,0.47,77.15
2.43,9.35,0.44,81.10
2.36,14.64,0.33,73.89
5.19,7.43,0.70,81.25
3.11,13.52,0.44,76.23
4.63,14.72,0.52,81.88
5.70,9.10,0.48,85.94
5.11,13.86,0.07,100.00
1.00,6.77,0.80,86.33
0.86,5.19,0.66,78.43
1.69,11.98,0.95,78.36
9.22,12.85,0.07,75.92
7.34,10.04,0.54,77.60
0.10,11.83,0.78,72.75
2.49,8.25,0.84,80.17
4.53,6.39,0.43,76.00
6.52,9.30,0.67,100.00
9.29,9.75,0.03,68.00
1.31,10.90,0.47,74.84
3.09,8.05,0.85,89.81
3.26,11.71,0.57,84.77
3.88,14.74,0.18,73.90
9.57,11.62,0.16,68.14
4.20,13.09,0.06,75.28
3.79,5.14,0.27,100.00
5.43,11.75,0.34,76.61
5.05,12.08,0.68,78.21
7.46,10.53,0.75,100.00
5.52,14.90,0.78,79.75
3.85,5.21,0.87,100.00
8.97,9.74,0.30,70.37
3.64,8.49,0.87,76.85
1.09,10.36,0.54,75.96
5.72,11.04,0.06,75.93
2.23,6.86,0.93,82.40
4.24,10.68,0.04,85.98
3.61,12.53,0.71,75.24
5.86,8.01,0.28,81.25
1.81,10.34,0.53,74.64
7.76,8.37,0.84,100.00
9.10,14.17,0.37,100.00
3.69,6.92,0.04,78.85
2.53,5.73,0.21,87.50
6.09,10.34,0.79,74.07
3.29,14.49,0.65,73.22
3.99,6.55,0.22,70.25
6.79,8.17,0.33,77.60
5.94,11.96,0.22,91.80
6.72,12.96,0.75,100.00
2.16,9.85,0.51,79.32
6.21,10.02,0.46,89.03
4.54,10.84,0.81,92.19
9.01,12.83,0.69,100.00
6.17,11.13,0.43,94.68
7.50,13.58,0.84,76.95
1.45,9.48,1.00,78.05
3.26,3.90,0.67,100.00
8.28,9.13,0.36,100.00
1.29,6.42,0.68,70.31
4.29,11.94,0.34,76.38
5.79,7.15,0.67,100.00
6.97,13.08,0.48,77.24
3.72,13.12,0.42,76.69
9.97,13.54,0.67,76.85
9.94,12.75,0.58,79.20
2.70,6.61,0.63,79.01
6.44,6.82,0.99,100.00
1.23,11.46,0.66,75.49
1.10,9.28,0.26,100.00
5.36,10.55,0.53,100.00
6.56,7.65,0.18,100.00
0.23,3.44,0.10,82.18
7.18,10.94,0.78,85.60
3.24,14.57,0.44,89.08
3.86,5.89,0.42,77.60
9.45,13.61,0.69,100.00
1.53,11.56,0.22,74.02
6.64,11.14,0.21,73.52
6.42,14.19,0.28,100.00
0.36,13.63,0.09,99.47
2.31,14.46,0.41,74.41
2.67,13.03,0.12,73.97
9.10,12.63,0.49,100.00
6.71,10.35,0.86,74.40
1.81,4.47,0.62,87.20
0.40,13.35,0.97,74.05
3.96,11.75,0.39,100.00
0.83,12.54,0.69,74.44
9.73,11.19,0.11,100.00
9.46,11.22,0.08,100.00
0.61,14.22,0.42,77.08
0.94,1.59,0.63,75.00
2.46,5.47,0.35,72.57
8.01,8.39,0.07,62.04
8.13,10.96,0.77,65.62
2.70,13.27,0.98,83.62
5.89,11.77,0.09,91.59
5.95,7.02,0.54,100.00
1.89,3.08,0.56,100.00
9.63,14.25,0.16,80.93
8.87,10.84,0.11,67.49
4.74,12.54,0.82,100.00
1.22,10.29,0.26,78.66
5.52,6.62,0.54,100.00
0.75,12.05,0.36,73.66
0.92,9.24,0.60,78.86
1.69,10.17,0.67,72.42
5.30,6.99,0.81,100.00
7.83,13.66,0.88,80.17
5.03,11.66,0.49,76.60
5.77,10.91,0.88,79.63
4.82,14.84,0.50,74.67
0.34,14.33,0.90,77.44
7.37,12.65,0.59,73.20
5.59,8.40,0.98,100.00
8.91,12.84,0.53,100.00
3.84,11.85,0.28,78.10
1.68,4.55,0.53,75.93
0.49,1.64,0.54,100.00
1.75,3.39,0.24,73.18
4.49,9.16,0.69,100.00
6.40,10.18,0.57,100.00
2.46,12.77,0.18,81.21
8.08,14.96,0.76,75.40
8.43,10.42,0.18,100.00
4.25,13.04,0.28,100.00
6.17,10.82,0.20,75.43
1.62,11.99,0.13,78.77
3.59,4.23,0.33,75.00
1.00,3.84,0.46,86.59
8.79,12.96,0.92,82.40
0.18,13.11,0.02,74.83
0.52,6.12,0.45,85.43
4.77,12.70,0.23,100.00
4.46,14.25,0.35,100.00
7.29,9.68,0.11,100.00
7.99,12.25,0.28,68.16
2.25,14.70,0.12,74.43
